"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2019","Stratum_3"," [g]",9283.85790965566,1730.42544487456,0.186390772210639
"1","2020","Stratum_3"," [g]",2801.36499039992,1168.06118333019,0.41696144105929
"1","2021","Stratum_3"," [g]",4556.20903863321,1340.7885452496,0.294277223428672
"1","1985","Stratum_4"," [g]",17397.8283947032,3743.75786246324,0.215185354029762
"1","1986","Stratum_4"," [g]",18189.7829607604,3519.35300544611,0.193479659050258
"1","1987","Stratum_4"," [g]",15856.3822553509,3446.20984498774,0.217338973637872
"1","1988","Stratum_4"," [g]",11438.1374741752,2886.26230044644,0.25233673812393
"1","1989","Stratum_4"," [g]",14467.7849400829,2970.21155002404,0.205298292884842
"1","1990","Stratum_4"," [g]",12479.9310821058,2832.97564851878,0.227002507456216
"1","1991","Stratum_4"," [g]",9491.74054337145,1930.97536481199,0.203437436578529
"1","1992","Stratum_4"," [g]",20195.8974830193,4070.92373324402,0.201571816091207
"1","1993","Stratum_4"," [g]",24734.8872711843,4883.48708934577,0.197433165383169
"1","1994","Stratum_4"," [g]",15749.65550778,3025.56752884074,0.192103727433669
"1","1995","Stratum_4"," [g]",25163.8392281271,4197.69257645884,0.166814472879275
"1","1996","Stratum_4"," [g]",16322.2289444717,3020.46118803885,0.185052004742396
"1","1997","Stratum_4"," [g]",19887.7019455857,3651.25652043911,0.183593686712986
"1","1998","Stratum_4"," [g]",22967.4965624029,3907.39087489561,0.170126982027806
"1","1999","Stratum_4"," [g]",33223.9970891228,5524.27544969771,0.166273655601369
"1","2000","Stratum_4"," [g]",33762.6551360028,5888.24739065472,0.174401194661251
"1","2001","Stratum_4"," [g]",34859.502311242,6405.31801568044,0.183746685724046
"1","2002","Stratum_4"," [g]",23927.4119520189,4432.82260687423,0.185261265019521
"1","2003","Stratum_4"," [g]",23969.689426542,5067.78694277714,0.211424806245737
"1","2004","Stratum_4"," [g]",36868.5188906294,7373.00480974153,0.199981041593062
"1","2005","Stratum_4"," [g]",25625.860787907,5396.32499128469,0.210581218556811
"1","2006","Stratum_4"," [g]",23062.3376322097,4544.92690529951,0.197071388762945
"1","2007","Stratum_4"," [g]",20398.7751694859,4021.30652851931,0.197134705153018
"1","2008","Stratum_4"," [g]",16436.5817503194,3662.57356244683,0.22283061150325
"1","2009","Stratum_4"," [g]",19961.0264605896,3739.03789789725,0.187316915053416
"1","2010","Stratum_4"," [g]",19032.0966578527,4068.17090212254,0.213753165258542
"1","2011","Stratum_4"," [g]",29497.9550939566,6366.59282055297,0.215831666984174
"1","2012","Stratum_4"," [g]",40611.0162745092,8157.07475277564,0.200858670899494
"1","2013","Stratum_4"," [g]",24624.1853721047,5427.28364413861,0.220404596624215
"1","2014","Stratum_4"," [g]",14504.6515512131,3390.24701393809,0.233735157440204
"1","2015","Stratum_4"," [g]",21314.5698585681,4693.17670344595,0.220186320183204
"1","2016","Stratum_4"," [g]",18151.7328893407,3633.06402642009,0.200149707389841
"1","2017","Stratum_4"," [g]",16819.5061263975,3980.08895632384,0.236635304652451
"1","2018","Stratum_4"," [g]",20896.3617526135,4835.70356480694,0.231413660524045
"1","2019","Stratum_4"," [g]",25220.7679801949,5549.36318284402,0.220031490999868
"1","2020","Stratum_4"," [g]",11715.4300072514,4602.87461596359,0.392889941992278
"1","2021","Stratum_4"," [g]",19174.9775732796,7731.31060497594,0.403197895561013
"1","1985","Stratum_5"," [g]",13864.1204273735,3170.21931028977,0.228663572773824
"1","1986","Stratum_5"," [g]",14374.6510834833,2977.45590208082,0.207132394712659
"1","1987","Stratum_5"," [g]",12102.7108273606,2737.19837354542,0.226164072875097
"1","1988","Stratum_5"," [g]",7949.24148188,2124.80237419356,0.267296241916536
"1","1989","Stratum_5"," [g]",11919.6159192354,2562.24348591914,0.214960238927187
"1","1990","Stratum_5"," [g]",8218.28061673014,1976.27959530421,0.240473608467573
"1","1991","Stratum_5"," [g]",6607.9311502082,1421.67938112039,0.215147426449138
"1","1992","Stratum_5"," [g]",12872.3738704812,2644.66044853799,0.205452426657891
"1","1993","Stratum_5"," [g]",13925.033802344,3006.19540823053,0.215884244943412
"1","1994","Stratum_5"," [g]",10080.334106735,2207.84187361815,0.219024672222224
"1","1995","Stratum_5"," [g]",17113.616692638,3079.34612677778,0.179935438667529
