pdcomnam,sizecat,minlen,maxlen
ROUGHTAIL STINGRAY,L,74,129
ROUND HERRING,S,11,18
ROUND HERRING,XS,10,10
ROUND SCAD,S,14,18
SAND PERCH,M,24,24
SAND PERCH,S,18,19
SAND TIGER,L,105,246
SANDBAR SHARK,L,60,240
SAUCEREYE PORGY,M,22,30
SAUCEREYE PORGY,S,12,20
SCALLOPED HAMMERHEAD SHARK,L,54,112
SCALLOPED HAMMERHEAD SHARK,M,41,41
SCAMP,L,51,99
SCORPIONFISH AND ROCKFISH UNCL,S,4,20
SCUP,M,21,43
SCUP,S,4,20
SEA BASS UNCL,L,58,71
SEA RAVEN,L,51,68
SEA RAVEN,M,26,50
SEA RAVEN,S,4,25
SEAROBIN UNCL,S,5,11
SHARKSUCKER,M,43,43
SHEEPSHEAD,L,51,55
SHEEPSHEAD,M,31,50
SHORTFIN MAKO,L,146,146
SHORTHORN SCULPIN,M,33,46
SHORTNOSE GREENEYE,S,11,14
SILVER HAKE,L,41,76
SILVER HAKE,M,21,40
SILVER HAKE,S,3,20
SILVER PERCH,S,18,20
SKATE UNCL,M,49,49
SMOOTH DOGFISH,L,80,150
SMOOTH DOGFISH,M,36,79
SMOOTH DOGFISH,S,14,32
SMOOTH HAMMERHEAD SHARK,L,92,92
SMOOTH SKATE,L,61,73
SMOOTH SKATE,M,31,60
SMOOTH SKATE,S,6,30
SNAKEFISH,M,21,23
SNAKEFISH,S,13,20
SNOWY GROUPER,L,59,90
SNOWY GROUPER,M,46,46
SNUBNOSE EEL,S,11,11
SOUTHERN FLOUNDER,M,21,33
SOUTHERN KINGFISH,M,21,32
SOUTHERN KINGFISH,S,15,20
SOUTHERN STARGAZER,M,22,22
SOUTHERN STINGRAY,XL,84,84
SPANISH MACKEREL,L,53,62
SPANISH MACKEREL,M,21,45
SPANISH MACKEREL,S,16,16
SPANISH SARDINE,S,5,6
SPINY BUTTERFLY RAY,L,52,295
SPINY DOGFISH,L,80,117
SPINY DOGFISH,M,36,79
SPINY DOGFISH,S,3,35
SPINY SEAROBIN,S,10,14
SPOT,L,74,74
SPOT,M,21,30
SPOT,S,10,20
SPOTTAIL PINFISH,M,25,29
SPOTTAIL PINFISH,S,12,20
SPOTTED HAKE,L,41,818
SPOTTED HAKE,M,21,40
SPOTTED HAKE,S,4,20
SPOTTED SEATROUT,L,56,56
STRIATED ARGENTINE,S,8,8
STRIPED ANCHOVY,M,12,13
STRIPED ANCHOVY,S,10,10
STRIPED BASS,L,71,120
STRIPED BASS,M,31,70
STRIPED BASS,S,19,30
STRIPED BONITO,L,55,57
STRIPED BURRFISH,S,14,14
STRIPED CUSK-EEL,M,21,30
STRIPED CUSK-EEL,S,16,18
STRIPED SEAROBIN,L,31,45
STRIPED SEAROBIN,M,21,30
STRIPED SEAROBIN,S,3,20
SUMMER FLOUNDER,L,41,70
SUMMER FLOUNDER,M,21,40
SUMMER FLOUNDER,S,13,20
SUMMER FLOUNDER,XL,71,300
TAUTOG,L,52,64
TAUTOG,M,21,50
TAUTOG,S,9,19
THORNY SKATE,L,61,80
THORNY SKATE,M,31,60
THORNY SKATE,S,10,30
THORNY SKATE,XL,81,108
THRESHER SHARK,L,169,169
TILEFISH,L,53,74
TILEFISH,M,21,49
TILEFISH,S,11,20
TOMTATE,S,11,19
UNKNOWN 01,M,27,27
VERMILION SNAPPER,M,21,24
VERMILION SNAPPER,S,12,20
WARSAW GROUPER,L,84,125
WEAKFISH,L,51,85
WEAKFISH,M,26,50
WEAKFISH,S,7,25
WHITE GRUNT,M,24,45
WHITE HAKE,L,41,136
WHITE HAKE,M,21,40
WHITE HAKE,S,3,20
WHITEBONE PORGY,M,22,34
WHITEBONE PORGY,S,20,20
WINDOWPANE,L,41,69
WINDOWPANE,M,21,40
WINDOWPANE,S,3,20
WINTER FLOUNDER,L,41,65
WINTER FLOUNDER,M,21,40
WINTER FLOUNDER,S,7,20
WINTER FLOUNDER,XL,76,76
WINTER SKATE,L,61,80
WINTER SKATE,M,31,60
WINTER SKATE,S,9,30
WINTER SKATE,XL,81,135
WITCH FLOUNDER,L,41,65
WITCH FLOUNDER,M,21,40
WITCH FLOUNDER,S,5,20
WOLF EELPOUT,S,12,12
WRYMOUTH,M,40,41
WRYMOUTH,S,23,23
YELLOWFIN BASS,M,21,27
YELLOWFIN BASS,S,20,20
YELLOWMOUTH GROUPER,L,76,76
YELLOWTAIL FLOUNDER,L,41,58
YELLOWTAIL FLOUNDER,M,21,40
YELLOWTAIL FLOUNDER,S,3,20
