Time,BigOld_Estimate,BigOld_SE,BigNew_Estimate,BigNew_SE,AlbOld_Estimate,AlbOld_SE,AlbNew_Estimate,AlbNew_SE,StateWaters_Estimate,StateWaters_SE,FedWaters_Estimate,FedWaters_SE
2000,4000.34570451273,901.196534645197,26097.7456565336,4416.36619452714,10013.36583837921,2212.811189327887,32110.76579040008,5727.980849209829,4106.1410958057,908.464638907936,38866.3493985725,6253.91678465125
2001,2978.725529354,746.241848152488,26870.3905583244,4706.58979545674,8349.132680859071,2039.139927323698,32240.797709829472,5999.48787462795,3404.48703274736,829.498093164505,42059.3950058454,6843.3536592602
2002,1807.93579937461,405.505501382747,18426.5258531105,3250.23399632687,4839.96012150936,1131.333279584435,21458.550175245247,3976.061774528558,2016.20756322452,463.795685084337,26977.8842521514,4609.51820599856
2003,2257.53505036745,612.44569198492,17781.382008453,3526.22417833951,5763.23155179419,1515.088096605474,21287.078509879742,4428.866582960064,2396.98031063954,628.064572309173,29149.3737466745,5293.24225815848
2004,3591.79592640832,924.677816660581,29419.6397342121,5375.07290956771,8437.881477653471,2090.225232710101,34265.72528545725,6540.62032561723,3955.63083091581,986.971286532769,43602.2982878763,7382.04326158973
2005,2342.22453332246,590.739695513971,18614.8623340369,3671.72802405965,6083.6502817192795,1535.053305288521,22356.288082433723,4616.0416338342,2431.12630718039,606.734619638071,31236.023577019,5589.15338878932
2006,1914.91487904626,453.968174969168,17594.3448804256,3212.66161898495,4702.05334161622,1123.25779092402,20381.48334299556,3881.951234939802,1885.82519729827,443.738361397683,27004.7235452763,4743.80073449509
2007,1652.88987155331,383.223826765879,15972.4336085749,2916.60235886691,5170.15811973759,1263.594834798181,19489.70185675918,3796.973366899212,1919.31147781147,459.651986107362,24972.0445123542,4380.82662506078
2008,2274.17692235306,462.552301956723,13813.047054784,2641.24745710068,5645.76499277575,1162.590423375814,17184.63512520669,3341.285578519771,2313.88125216061,458.357558733849,20993.8726809002,3958.38593618414
2009,1878.00620211473,360.277903373913,15677.4622464055,2727.333753096,5300.50941842775,1086.1050918303258,19099.96546271852,3453.1609415524126,2036.87718621088,393.28885763719,25018.7907816288,4184.9967809705
2010,2528.10649108597,525.575793237312,15659.0208841142,2909.89702382033,6414.09182427864,1350.5996597765702,19545.00621730687,3734.920890359588,2741.47946529184,547.949289666998,24373.633119241,4369.21308071697
2011,3486.18138478058,726.801299643537,22632.7984057766,4183.04044900927,9773.14615902402,2026.691181709577,28919.76318002004,5482.930331075309,3937.78795661787,812.218101608477,37886.0794004977,6770.03223651399
2012,3564.39862059435,748.600559939854,26903.286460727,5024.76852102154,9746.553897127571,2079.555923529304,33085.44173726022,6355.72388461099,3927.67928114008,821.702689761818,45954.8474877321,8250.78003127848
2013,2014.52870394826,420.758305636362,16514.3432770617,3162.80505273027,5350.78079867134,1205.6019550309102,19850.59537178478,3947.6487021248176,2218.41923073924,465.620702819817,28670.1979252301,5345.54246199801
2014,2101.57971317954,465.539585484165,12071.5547994713,2419.33483135074,5098.7696181230895,1141.221052502698,15068.74470441485,3095.016298369273,2095.13548181741,444.765023065589,18740.6695816257,3655.93359951876
2015,2486.54300701477,547.77494299494,17541.3981884315,3484.27983683656,6430.196511923719,1453.9896454933719,21485.05169334045,4390.494539334992,2681.1251001366,575.615359221024,27506.106053666,5287.23585829717
