Time,BigOld_Estimate,BigOld_SE,BigNew_Estimate,BigNew_SE,AlbOld_Estimate,AlbOld_SE,AlbNew_Estimate,AlbNew_SE,StateWaters_Estimate,StateWaters_SE,FedWaters_Estimate,FedWaters_SE
1999,3120.61954940069,872.344130592949,28795.3738369317,7333.08188962665,8933.50409693732,2421.954663301659,34608.25838446833,8882.69242233536,3896.50286650476,1043.42794957284,58459.6569080852,14615.3542960906
2000,3804.72593797405,1126.92447854549,33659.3261812717,8950.86779237375,10615.94112413376,3018.71000945796,40470.54136743141,10842.65332328622,4428.98975889437,1247.20416599634,64980.9606301228,16918.9666368421
2001,3559.17674773721,1090.65919290878,27583.4620866584,7699.01066983204,10259.41943778399,3083.23351091945,34283.704776705184,9691.584987842709,4447.31447600886,1311.37166461843,50985.3553255352,13892.1526134648
2002,4121.95401015773,1261.29940001964,27073.6279335085,7398.94423788543,10235.788101619732,3007.35064336547,33187.4620249705,9144.99548123126,4403.34801341921,1280.1723288512,52681.4052252955,13969.8212046549
2003,2873.90867898617,815.200230240225,25261.0087215096,6632.24064481438,8797.11701790044,2439.161161416225,31184.21706042387,8256.20157599038,3871.84751121304,1071.17248217224,46607.7007418967,12102.2175242867
2004,2232.60123851244,677.510461396827,17149.8510229056,4617.3829075568,6313.01238881009,1844.4723563208372,21230.26217320325,5784.34480248081,2684.73661570903,778.034981283151,32865.5515043256,8592.33486899519
2005,3641.86476762835,1104.91948437112,28098.3974098922,7732.50529126028,8939.43756317335,2601.45166431618,33395.9702054372,9229.03747120534,4198.50264570737,1209.10297301372,47633.8786488571,12866.3295259413
2006,3446.97487390183,1009.51738301523,24626.3656852812,6545.34806313809,9236.89402845749,2630.97758053545,30416.28483983686,8166.80826065831,4255.52801451556,1190.33430026172,45177.2188769717,11731.2431954341
2007,4650.33944167281,1345.39654092487,32159.5955951832,8499.13587406098,12528.434565747499,3486.8878392165398,40037.69071925789,10640.62717235265,5896.73345896143,1618.01803027505,59072.7506815361,15184.2502377724
2008,4614.68164256013,1252.19913881546,34190.0380674546,8741.31161983231,12190.95584388677,3209.6799319759702,41766.31226878124,10698.79241299282,5462.93654481224,1422.99812761381,61141.8393245268,15347.8841376258
2009,3211.25385349172,825.654914143049,24324.6697005381,5908.34082560593,9163.00051139076,2292.000310280889,30276.416358437138,7374.68622174377,4243.39878644631,1050.49861105677,42504.4768159162,10060.9170391212
2010,2974.05909971246,773.230399899351,27722.8305367276,6698.87656187402,8374.82339272995,2132.808236884791,33123.59482974509,8058.45439885946,3938.81020174208,1001.40171172161,50235.3294151948,11820.5361478955
2011,2818.5947264831,756.546449695511,32101.4463624413,8352.0735141018,8716.59944164322,2306.321140315691,37999.45107760142,9901.84820472198,3466.75554264083,901.729342171409,60994.7956396793,15606.070008224
2012,2928.73673968872,807.623379557248,28214.7746470706,7303.665769924,8616.58160209399,2279.4465056257777,33902.61950947587,8775.48889599253,3824.43033046963,1002.00365388681,56395.1952151768,14133.8170831873
2013,2570.8468737475,664.440095107811,22684.0305370687,5571.44012444107,7213.019752908211,1826.610243133661,27326.203416229408,6733.61027246692,3449.66432564816,858.328260840094,43390.171458511,10535.6982850879
2014,2341.26465355568,627.753349632949,21141.0209408368,5406.59547984995,7064.455729675839,1846.7448806083491,25864.21201695696,6625.587010825349,3028.62673275151,779.494144335372,37925.3835703337,9532.32061833312
2015,3851.399250535,1035.65623377648,25354.8119164703,6552.82387512048,10435.79634023712,2676.75184922148,31939.20900617242,8193.91949056548,4601.80318567463,1154.55135420237,47760.7777588104,12232.884890404
2016,2792.64999576191,749.434982352672,24242.6393865244,6207.95351229073,8101.01861112833,2079.892664517662,29551.00800189082,7538.41119445572,3436.45042197551,861.674438697829,48608.4382280391,12305.395559094
2017,3153.81249544116,874.448869929579,22975.6469921557,6182.99897838897,8455.149793472001,2255.635750570299,28276.98429018654,7564.18585902969,3788.52509626543,990.896245737387,41379.4723293262,11020.6742913575
2018,2461.00599785053,711.060575214769,18487.7482517184,4828.89654097723,6424.6406565406505,1772.6174681819289,22451.38291040852,5890.45343394439,2966.16484846463,799.625143233875,34407.5778113008,8848.29886940407
2019,1980.16629225636,520.479106753399,20790.4743237001,5344.32059934909,6626.05000419678,1765.858512260239,25436.35803564052,6589.70000485593,3225.98529236267,849.530514746816,40653.808428462,10209.7289511638
2020,2980.39254892404,789.940781980346,23012.9562121268,6607.06033396897,8661.41772150953,2279.057368964096,28693.98138471229,8096.176920952719,4058.89312100672,1031.67885041059,41991.8917416861,12381.6543221646
2021,3092.69829346208,906.782059176126,23045.2504952656,6997.98353122772,8618.37347281291,2450.630719384206,28570.925674616432,8541.8321914358,3858.01069731354,1066.28353183053,42094.6982593185,13048.7820628078
