Time,BigOld_Estimate,BigOld_SE,BigNew_Estimate,BigNew_SE,AlbOld_Estimate,AlbOld_SE,AlbNew_Estimate,AlbNew_SE,StateWaters_Estimate,StateWaters_SE,FedWaters_Estimate,FedWaters_SE
1995,1182.71330400681,170.039860952618,10313.5123325444,1244.80199539306,3130.76821164133,485.49717292460105,12261.56724017892,1560.259307365043,1364.23521602078,213.510000353969,18244.2091191647,2061.10957460263
1996,1353.74806227458,203.097575884991,11666.5076091664,1462.29246359483,4123.24478358452,621.212237947947,14436.004330476339,1880.4071256577859,1673.16568005019,255.839757813485,21501.8616577736,2476.95375592101
1997,1287.10802387847,206.977785540264,11130.4533306197,1378.41436635651,3871.4026405836303,671.60804384483,13714.74794732486,1843.0446246610761,1747.48782117161,305.187245483334,19441.4995099127,2246.34961435292
1998,994.675995211732,146.880688496077,11056.1428296152,1303.78398638747,2979.4573370903217,471.05398452593,13040.92417149379,1627.9572824173229,1249.89845955827,195.29675767627,21588.3327340884,2397.22115603791
1999,1352.71707540297,198.628067337522,14601.8967568869,1725.76517673169,4304.94677879237,673.1267209153621,17554.1264602763,2200.26383030953,1890.70495429405,293.85584186106,28526.2545693401,3158.27474088316
2000,2211.0594844119,334.732909741872,17753.5703871773,2129.89206254336,6073.689392156681,928.8735685267241,21616.20029492208,2724.032721328212,2548.22752017353,386.975870876491,30769.1292159877,3521.71204178205
2001,1574.87860247886,245.800419633084,15705.2893789822,1962.99500027553,4945.78722328372,819.4130969590719,19076.19799978706,2536.607677601518,2098.55963502383,349.27646852091,27326.4989108426,3209.99028807755
2002,1492.83574021769,234.550760929093,13554.7130811808,1702.41589407702,4105.04224738162,664.253120343481,16166.91958834473,2132.1182534914083,1787.47924625539,288.228959539181,23173.3244301891,2844.55655092085
2003,1334.77430804085,212.195064578279,12350.3111040525,1658.13445905383,4133.278328972459,694.60027062801,15148.81512498411,2140.5396651035608,1801.88034163463,299.751479161226,22410.7300903771,2871.72771443497
2004,1555.16418494438,256.943896796439,14369.5573226328,1874.49556078139,4226.27854077934,704.788763817889,17040.67167846776,2322.34042780284,1971.08897208208,326.313626741176,24854.4476706405,3061.64453050819
2005,1668.45873302898,272.849917522378,14456.1856684503,1936.61695246586,4557.67144591917,757.515951935591,17345.39838134049,2421.282986879073,2050.8768786351,333.648087861617,25013.6551437726,3121.28939600129
2006,1334.98396360034,204.888284199405,12574.9441181559,1570.8066938821,3666.30803061593,607.1104745464411,14906.26818517149,1973.028884229136,1663.03615813432,277.376242063713,21103.7848187045,2519.18982554743
2007,1761.31738482558,233.673794706085,14195.5248041729,1760.88050666269,5286.42514177937,765.618692335699,17720.632561126688,2292.825404292304,2451.59786088691,361.82995974235,24278.4196700695,2893.17050686868
2008,1844.26531575881,243.781859790498,13319.7341226553,1750.01614171582,5250.65341598307,748.530099597283,16726.12222287956,2254.7643815226047,2260.71525143072,303.267795109012,22166.8550813573,2832.00643699401
2009,1436.87624008185,182.147795756804,12032.5266346626,1475.57641872985,4412.42796780995,630.5606245879419,15008.0783623907,1923.9892475609881,1917.96762415367,265.830944347788,20151.1468571204,2325.4202952473
2010,1619.44636771325,212.047001262074,13274.1299032595,1664.07166091307,4691.15285348093,671.504617539691,16345.83638902718,2123.529277190687,2179.7969406602,299.423260171611,22530.5090668706,2733.60204939531
2011,1863.04096676098,253.685005865854,16169.3678685869,2087.68626524944,5981.52435686266,879.936259407253,20287.85125868858,2713.937518790839,2358.48104755589,327.729033111588,28762.1812699822,3462.90021879003
2012,1895.2917884438,249.634899863233,15815.7291496818,1970.91882478376,5510.24168899699,763.5919011840899,19430.67905023499,2484.875826104617,2328.31550100287,315.307811111017,29531.2171860712,3520.54035847039
2013,1296.22882582394,177.491421555428,11316.2376223653,1468.16590391211,3748.87691521838,580.2926942572869,13768.88571175974,1870.967176613969,1729.53223339594,252.254957640304,20808.7939803183,2596.2161534986
2014,1227.61808848332,173.740174288973,9305.66759000255,1229.89733802309,3497.1173142893404,526.841115440977,11575.16681580857,1582.998279175094,1492.94396332781,212.234754496792,15684.3326545915,1988.5397422219
2015,1629.93919222089,228.84468565504,11354.0864915141,1502.7154361324,4730.13947161912,678.0787718388999,14454.28677091233,1951.94952231626,2092.84372711478,279.717112604956,19979.9867849053,2520.60695035761
